id,slug,3do_parent,android_parent,atari_parent,commodore-amiga_parent,ios_parent,linux_parent,mac_parent,neo-geo_parent,nintendo_parent,pc_parent,playstation_parent,sega_parent,web_parent,xbox_parent,action,adventure,arcade,board-games,card,casual,educational,family,fighting,indie,massively-multiplayer,platformer,puzzle,racing,role-playing-games-rpg,shooter,simulation,sports,strategy,released_año,released_mes,released_dia,released_trimestre,released_cuatrimestre,released_semestre,released_lustro,released_decada,released_estacion,exito,target
319283,sweet-fruit-ohki,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142861,0.9090909090909091,0.3333333333333333,1.0,1.0,1.0,0.928571428571427,0.8571428571428541,0.6666666666666667,3,3
319284,sniper-honor,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.928571428571427,0.36363636363636365,0.13333333333333333,0.3333333333333333,0.5,0.0,0.928571428571427,0.8571428571428541,0.0,3,3
319285,big-gunner-machines-attack,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8999999999999986,0.1818181818181818,0.6,0.0,0.0,0.0,0.928571428571427,0.8571428571428541,1.0,3,3
319286,3d-pool-bia-snooker,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8999999999999986,0.1818181818181818,0.5333333333333333,0.0,0.0,0.0,0.928571428571427,0.8571428571428541,1.0,3,3
319287,shooter-sky-war-supper-squadron-air,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142861,0.8181818181818182,0.8333333333333334,1.0,1.0,1.0,0.928571428571427,0.8571428571428541,0.6666666666666667,3,3
319288,blocksbuster,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928571428571427,0.2727272727272727,0.3666666666666667,0.3333333333333333,0.0,0.0,0.928571428571427,0.8571428571428541,0.0,4,4
319289,crazy-car-obstacle-challenge,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.928571428571427,0.4545454545454545,0.7333333333333333,0.3333333333333333,0.5,0.0,0.928571428571427,0.8571428571428541,0.3333333333333333,3,3
319290,fantasy-ball-shoot-home-pet-play,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142861,0.9999999999999999,0.0,1.0,1.0,1.0,0.928571428571427,0.8571428571428541,0.6666666666666667,3,3
319291,bubble-wrap-popping,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8999999999999986,0.0,0.8333333333333334,0.0,0.0,0.0,0.928571428571427,0.8571428571428541,1.0,3,3
319292,pet-sweet-balloon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142861,0.9090909090909091,0.5333333333333333,1.0,1.0,1.0,0.928571428571427,0.8571428571428541,0.6666666666666667,3,3
