id|slug|released|tba|background_image|rating|rating_top|game_ratings_title|game_ratings_count|game_ratings_percent|reviews_text_count|added|added_by_status_title|added_by_status_values|metacritic|playtime|suggestions_count|reviews_count|esrb_rating_id|esrb_rating_name|esrb_rating_slug|platforms|platforms_games_count|platforms_image_background|released_at|parent_platforms|genres|stores|stores_games_count|stores_image_background|tags|tags_language|tags_games_count
38115|orf-ski-challenge-07|2006-11-01|false| https://media.rawg.io/media/screenshots/6f0/6f0db966b23a038aa852e11ea825d2c8.jpg |0|0||||0|0||||0|78|0||||pc|532583|https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg|2006-11-01|pc|sports||||||
38110|project-torque||false| https://media.rawg.io/media/screenshots/ca4/ca4234741f73f03db0f57dbebe263320.jpg |0|0||||0|0||||0|331|0||||pc|532583|https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg|2007-09-30|pc|racing,arcade||||||
38108|curse-of-the-skeleton-island||false| https://media.rawg.io/media/screenshots/cd0/cd0e8a620958d79853c47a7bbef6f93d.jpg |0|0||||0|0||||0|483|0||||pc|532583|https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg||pc|adventure||||||
38107|wildlife-park-2-crazy-zoo-2|2007-03-30|false| https://media.rawg.io/media/screenshots/b35/b352c9b0040790e65896d364a43e08f8.jpg |0|0||||0|0||||0|396|0||||pc|532583|https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg|2007-03-30|pc|strategy||||||
38104|game-239||false| https://media.rawg.io/media/screenshots/e2a/e2ab9acd5714025fe2e7a7dc1e6e6ddb.jpg |0|0||||0|0||||0|46|0||||pc|532583|https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg||pc|action,shooter||||||
38095|civil-war-battles-chickamauga|2007-06-01|false| https://media.rawg.io/media/screenshots/2a5/2a59b1b6b9912dc29de76d6ac06e73ba.jpg |0|0||||0|0||||0|198|0||||pc|532583|https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg|2007-06-01|pc|strategy||||||
38094|squad-battles-sovet-afghan-war|2007-06-01|false| https://media.rawg.io/media/screenshots/636/636d4d3d1c808c19f786883f99831562.jpg |0|0||||0|0||||0|164|0||||pc|532583|https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg|2007-06-01|pc|strategy||||||
38083|venus-redemption||false| https://media.rawg.io/media/screenshots/945/945203240e1925824a40bd3fe5b14636.jpg |0|0||||0|0||||0|21|0||||pc|532583|https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg||pc|adventure||||||
38077|panzer-campaigns-budapest-45|2007-04-06|false| https://media.rawg.io/media/screenshots/463/463062e0ccc17f98402abee54bc1434a.jpg |0|0||||0|0||||0|132|0||||pc|532583|https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg|2007-04-06|pc|strategy||||||
38075|shattered-suns|2008-08-19|false| https://media.rawg.io/media/screenshots/742/742670620bcdb347dc03e8f47f0c7fff.jpg |0|0||||0|0||||0|179|0||||pc|532583|https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg|2008-08-19|pc|strategy||||||
